"date","log_ret_IHSG","Gap_high_low_IHSG","RSI_IHSG_30_days","log_ret_LQ45","log_ret_SNP500","log_ret_NASDAQ","log_ret_SET_Thai","log_ret_LSE","log_ret_USD_to_IDR","log_ret_EURO_to_IDR","log_ret_Pounds_to_IDR","log_ret_Yen_to_IDR","log_ret_Harga_Emas","log_ret_Crude_Oil"
2004-01-01,NA,NA,NA,NA,NA,NA,NA,0,-0.00806403012470888,-0.0100559616334307,-0.0111568782634511,-0.00853764208874848,NA,NA
2004-01-02,0.0180512341127611,16.5,73.2297664198073,0.0234233621987055,-0.00309860042439904,0.00165088181205606,NA,0.0148152565669831,0.0129425344276393,0.0129025680259549,0.0189657988927012,0.0150899453995806,NA,NA
2004-01-05,0.0293369842995366,19.1019897460938,76.4180987007543,0.0348828757862739,0.0123191503128608,0.0200695092692807,0.0240305957289073,-0.0148152565669831,-0.00899199467805759,-0.0141523460954361,-0.00297078944353577,-0.00126901653739924,0.0207125167347182,0.0380135764868101
2004-01-06,-0.00204623885754757,20.3300170898438,75.758141976509,0.00192336062223695,0.00129131296210238,0.0048773738735236,-0.0272346244791245,-0.0044876505833992,-0.000956274450311087,0.0151496166153689,0.00645843816021179,-0.000507941563727919,-0.00377716723411012,-0.0023710152453248
2004-01-07,-0.0204031885160824,18.0830078125,69.6250127518664,-0.0255515163948896,0.00236436742089102,0.00982332863401645,-0.0246091693205677,0.0148813983006264,0.000896534080540234,-0.0182091849261587,0,0.00114265113278562,-0.00213092046064361,-0.00237676378723265
2004-01-08,0.02978732381729,21.4520263671875,72.9481803664437,0.029325459701051,0.00495082414142106,0.0108045315711113,0.0296246281680302,0.0110173310655978,-0.00374684618953186,0.0194871396680018,0.00439157786385389,-0.00363580634348624,0.00496515056840025,0.0106510065619881
2004-01-09,0.0308234654318743,22.2369995117188,75.8620634388498,0.0250027714156367,-0.00892733565494455,-0.00636712787275664,0.012704189144259,0.0137833745401432,-0.00226935050874087,0.0043947418467901,0.00391645409223514,-0.00500484042930227,0.00564440330561578,0.00966479412410316
2004-01-12,-0.0149528920542945,12.2899780273438,71.9422983437169,-0.0174360918683792,0.00477526946739735,0.011841950234633,0.0134015853965818,0.00143977072283638,0.00250918742079108,-0.0066229062909986,0.00292730734325763,0.00122800712574534,-0.000234563401246947,0.0118790280543219
2004-01-13,0.000857569951549247,7.2230224609375,72.0274455374528,0.00708402145452674,-0.00534592649108323,-0.00729056748183373,-0.00224433888315682,-0.00071978979851107,-0.00606154641456757,-0.00223314024997557,-0.00449204882825107,-0.00238057999874414,-0.00611760869326074,-0.00838763873655758
2004-01-14,0.017897296112076,16.7749633789062,73.7626763624088,0.0150388183826397,0.00826036909216145,0.00698265350637937,-0.00175602337739243,0.00143906187229881,0.0109416820704116,-0.0124437075887836,0.0022810972187959,0.0107444325622694,-0.00473149674335935,0.00203103782322264
2004-01-15,0.00906577546300369,7.34197998046875,74.5995464341941,0.00532090665774989,0.00135247040654864,-0.000971423160300945,-0.0301005398620536,0.00358796955280153,-0.00243703246132108,-0.00815156755436988,-0.00672787409897087,-0.00281833538754736,-0.0320471183541415,-0.031206576888129
2004-01-16,0.00897259875907099,7.7530517578125,75.4098598094594,0.00772151489199536,0.00684889837587539,0.0147688704671215,0.0142967543464626,0.0128115172140905,-0.00128068609999928,-0.00342424796236747,-0.0164539344938599,-0.00546876192002166,-0.004171228417557,0.0475933083009975
2004-01-19,-0.00501168500273119,13.9510498046875,74.0423216945979,-0.00456628822292501,NA,NA,-0.00485480998962578,0.0278958178247866,0.00500552550097851,0.00156408805731049,-0.00313636772396456,0.000434477767199425,NA,NA
2004-01-20,0.00862826140077428,5.83197021484375,74.8558946438568,0.00698926415041629,-0.000930340218770338,0.00350711556739896,-0.00360800630559409,0.00343300795957126,0.000131144694969058,0.00512876500702799,0.0199179454827718,0.00205506661454967,0.0146451234089896,0.0317130844572181
2004-01-21,0.00409962113303617,5.0379638671875,75.2397713613772,0.00506330559553118,0.00774147868719624,-0.00257784531963947,-0.00670746601770777,0.00683070566382855,-0.00237397035234384,0.0169020956549568,0.00509738392965136,-0.000867456664897988,-0.00388445758637442,-0.0457836067009942
2004-01-22,NA,NA,NA,NA,-0.00321183558489435,-0.0110010081130425,-0.00857956784060521,0.00475368287814628,0.00304094785012087,0.00812985893665379,0.00908448269569206,0.010018958811394,-0.00267934905226978,0.0100705343491158
2004-01-23,0.0122625083149439,9.68505859375,76.3654568148501,0.00911965621818935,-0.00209136199188066,0.00229094831912301,-0.00756631457669111,-0.00679820135071317,0.00222418907053551,-0.00876226343699795,-0.00771653798183821,-0.0053843306922798,-0.00513512833810544,0.00028619784612275
2004-01-26,0.00126529113877245,10.4800415039062,76.4803679638085,-0.000407392487258288,0.0120336039511306,0.0140077375482331,-0.0390319882941101,-0.00478618719126165,0.010212659225665,-0.0111957249770605,0.00441673879857932,0.0154539331205116,-0.00319211515489613,-0.0135428494593778
2004-01-27,-0.0184438979628595,23.3680419921875,71.2977174716104,-0.0139526525270255,-0.00984599379170542,-0.0177012530888805,0.0189899066329757,0.00546818371461159,-0.00906086997836271,0.0165449747215248,-0.00240080574713208,-0.00227909346345375,0.00832724349300157,-0.010205724623456
2004-01-28,-0.00699797657176537,13.2839965820312,69.4732640325153,-0.00847784920605362,-0.0137030638061225,-0.0184437088788174,-0.0237146275604278,0.00340263739482047,0.012863801188581,-0.016735978446678,0.00628179380083975,0.00792939106242481,0.0109158148769962,-0.0147625951085749
